test_1_score,test_2_score,test_3_score,test_4_score,hours_studied_per_week,attendance_percent,classes_missed,office_hours_attended,Study_attendence_interaction,Passed the class
0.56,0.77,0.93,0.55,0.08,0.7,0.06,0.05,0.055999999999999994,1
0.93,0.77,0.96,0.94,0.2,1.0,0.05,0.04,0.2,1
0.57,0.7,0.54,0.64,0.03,0.79,0.04,0.0,0.0237,0
0.96,0.72,0.41,0.59,0.07,0.71,0.1,0.03,0.0497,0
0.84,0.88,0.97,0.91,0.0,0.63,0.08,0.0,0.0,0
0.63,0.87,0.98,0.85,0.1,0.69,0.07,0.01,0.06899999999999999,0
0.66,0.75,0.54,0.95,0.06,0.73,0.04,0.03,0.0438,0
0.85,0.97,0.9,0.89,0.05,0.61,0.06,0.05,0.0305,1
0.99,0.45,0.56,0.55,0.04,0.57,0.1,0.0,0.022799999999999997,0
0.89,0.64,0.59,0.93,0.03,0.77,0.1,0.0,0.0231,0
0.53,0.56,0.89,0.89,0.04,0.56,0.1,0.0,0.022400000000000003,0
0.51,0.61,0.45,0.55,0.0,0.6,0.08,0.0,0.0,0
0.55,0.59,0.54,0.64,0.0,0.56,0.08,0.0,0.0,0
0.91,0.78,0.56,0.78,0.02,0.61,0.06,0.0,0.0122,0
0.53,0.94,0.95,0.74,0.04,0.66,0.05,0.0,0.026400000000000003,0
0.78,0.6,0.65,0.68,0.04,0.64,0.09,0.02,0.0256,0
0.67,0.48,0.61,0.63,0.0,0.51,0.1,0.0,0.0,0
0.75,0.52,0.48,0.52,0.03,0.59,0.07,0.01,0.017699999999999997,0
0.93,0.78,0.51,0.99,0.04,0.71,0.07,0.02,0.028399999999999998,0
0.83,0.9,0.61,0.91,0.12,0.74,0.08,0.01,0.08879999999999999,0
0.59,0.69,0.97,0.95,0.01,0.65,0.05,0.03,0.006500000000000001,0
0.85,0.59,0.62,0.63,0.12,0.81,0.08,0.05,0.09720000000000001,1
0.63,0.72,0.76,0.88,0.15,0.8,0.09,0.02,0.12,1
0.8,0.53,0.53,0.88,0.12,0.66,0.08,0.07,0.0792,1
0.97,0.46,0.63,0.7,0.02,0.65,0.1,0.04,0.013000000000000001,1
0.64,0.61,0.47,0.6,0.08,0.71,0.09,0.01,0.056799999999999996,0
0.57,0.54,0.65,0.99,0.0,0.5,0.1,0.0,0.0,0
0.63,0.53,0.71,0.59,0.01,0.5,0.09,0.0,0.005,0
0.72,0.75,0.96,0.64,0.03,0.67,0.1,0.01,0.0201,0
0.89,0.46,0.67,0.79,0.07,0.61,0.09,0.0,0.0427,0
0.7,0.68,0.71,0.93,0.02,0.57,0.07,0.0,0.011399999999999999,0
0.65,0.63,0.61,0.66,0.06,0.69,0.09,0.02,0.04139999999999999,0
0.94,0.61,0.88,0.78,0.14,0.74,0.09,0.01,0.10360000000000001,0
0.67,0.87,0.48,0.66,0.02,0.61,0.09,0.02,0.0122,0
0.96,0.93,0.42,0.82,0.01,0.76,0.07,0.0,0.0076,0
0.73,0.54,0.64,0.87,0.03,0.6,0.1,0.0,0.018,0
0.75,0.94,0.78,0.7,0.15,0.78,0.05,0.04,0.11699999999999999,1
0.74,0.99,0.51,0.96,0.12,0.66,0.07,0.06,0.0792,1
0.94,0.72,0.68,0.63,0.04,0.74,0.06,0.02,0.0296,0
0.9,0.82,0.42,0.59,0.03,0.66,0.07,0.0,0.0198,0
0.78,0.92,0.8,0.91,0.1,0.88,0.03,0.03,0.08800000000000001,1
0.64,0.72,0.85,0.72,0.07,0.68,0.06,0.05,0.04760000000000001,1
0.94,0.94,0.62,0.88,0.12,0.75,0.08,0.05,0.09,1
0.5,0.96,0.62,0.88,0.01,0.61,0.08,0.03,0.0061,0
0.74,0.94,0.94,0.63,0.07,0.83,0.03,0.03,0.058100000000000006,1
0.56,0.45,0.57,0.96,0.09,0.73,0.07,0.05,0.0657,1
0.58,0.47,0.5,0.71,0.1,0.69,0.09,0.06,0.06899999999999999,1
0.73,0.59,0.75,0.9,0.0,0.51,0.1,0.03,0.0,0
0.5,0.96,0.65,0.77,0.06,0.5,0.1,0.01,0.03,0
0.93,0.54,0.47,0.96,0.05,0.66,0.07,0.0,0.033,0
0.57,0.65,0.67,0.58,0.01,0.58,0.08,0.0,0.0058,0
0.73,0.81,0.57,0.72,0.04,0.5,0.1,0.01,0.02,0
0.6,0.59,0.52,0.56,0.08,0.64,0.08,0.0,0.0512,0
0.66,0.67,0.75,0.73,0.02,0.52,0.09,0.0,0.010400000000000001,0
0.57,0.58,0.81,0.92,0.05,0.82,0.06,0.02,0.041,1
0.84,0.59,0.79,0.86,0.09,0.68,0.09,0.02,0.061200000000000004,0
0.84,0.54,0.83,0.58,0.15,0.87,0.07,0.01,0.1305,0
0.82,0.53,0.9,0.87,0.08,0.73,0.08,0.04,0.0584,1
0.54,0.88,0.51,0.56,0.1,0.8,0.03,0.04,0.08000000000000002,1
0.91,0.83,0.61,0.72,0.1,0.93,0.06,0.02,0.09300000000000001,1
0.88,0.49,0.99,0.74,0.05,0.73,0.03,0.03,0.0365,0
0.9,0.69,0.41,0.95,0.06,0.98,0.04,0.02,0.0588,1
0.77,0.86,0.95,0.71,0.07,0.73,0.06,0.03,0.051100000000000007,0
0.56,0.7,0.79,0.92,0.0,0.72,0.06,0.0,0.0,0
0.58,0.52,0.67,0.56,0.03,0.6,0.1,0.03,0.018,0
0.57,0.66,0.52,0.55,0.08,0.54,0.07,0.02,0.0432,0
0.61,0.96,0.72,0.85,0.04,0.5,0.1,0.02,0.02,0
0.83,0.69,0.42,0.95,0.14,0.83,0.04,0.02,0.11620000000000001,1
0.82,0.92,0.73,0.71,0.09,0.64,0.1,0.03,0.0576,0
0.97,0.56,0.62,0.84,0.06,0.63,0.1,0.0,0.0378,0
0.72,0.53,0.94,0.98,0.1,0.66,0.05,0.04,0.066,1
0.73,0.54,0.71,0.96,0.09,0.62,0.07,0.06,0.055799999999999995,1
0.86,0.92,0.59,0.82,0.14,0.91,0.05,0.05,0.1274,1
0.84,0.54,0.67,0.7,0.13,0.64,0.09,0.04,0.08320000000000001,1
0.93,0.53,0.99,0.6,0.14,0.79,0.06,0.04,0.11060000000000002,1
0.89,0.7,0.47,0.62,0.1,0.75,0.07,0.06,0.07500000000000001,1
0.71,0.79,0.42,0.52,0.02,0.5,0.1,0.01,0.01,0
0.76,0.71,0.69,0.62,0.06,0.72,0.06,0.01,0.043199999999999995,0
0.84,0.75,0.64,0.99,0.16,0.65,0.09,0.06,0.10400000000000001,1
0.5,0.63,0.92,0.9,0.06,0.65,0.1,0.01,0.039,0
0.84,0.87,0.69,0.83,0.06,0.62,0.1,0.03,0.0372,0
0.86,0.82,0.68,0.77,0.05,0.66,0.1,0.0,0.033,0
0.96,0.5,0.86,0.89,0.01,0.67,0.06,0.0,0.0067,0
0.63,0.59,0.69,0.83,0.1,0.61,0.1,0.02,0.061,0
0.52,0.73,0.73,0.81,0.03,0.57,0.1,0.0,0.017099999999999997,0
0.5,0.91,0.64,0.72,0.02,0.5,0.08,0.0,0.01,0
0.54,0.89,0.56,0.73,0.02,0.51,0.09,0.03,0.0102,0
0.75,0.98,0.98,0.5,0.0,0.68,0.05,0.02,0.0,0
0.63,0.49,0.63,0.73,0.09,0.65,0.07,0.0,0.058499999999999996,0
0.88,0.58,0.77,0.52,0.06,0.75,0.06,0.0,0.045,0
0.76,0.97,0.67,0.66,0.02,0.52,0.1,0.0,0.010400000000000001,0
0.58,0.46,0.72,0.56,0.12,0.64,0.06,0.02,0.0768,0
0.64,0.67,0.75,0.59,0.06,0.77,0.05,0.0,0.0462,0
0.64,0.88,0.9,0.68,0.0,0.62,0.07,0.04,0.0,1
0.75,0.96,0.46,0.73,0.12,0.57,0.06,0.03,0.06839999999999999,0
0.91,0.9,0.62,0.58,0.03,0.57,0.07,0.0,0.017099999999999997,0
0.62,0.63,0.93,0.99,0.09,0.78,0.1,0.0,0.0702,1
0.81,0.68,0.85,0.64,0.09,0.67,0.07,0.06,0.0603,1
0.88,0.64,0.65,0.98,0.08,0.8,0.09,0.01,0.064,1
0.98,0.91,0.53,0.71,0.03,0.5,0.1,0.01,0.015,0
0.81,0.71,0.81,0.66,0.01,0.73,0.08,0.01,0.0073,0
0.53,0.96,0.67,0.68,0.07,0.55,0.08,0.01,0.038500000000000006,0
0.79,0.68,0.63,0.58,0.02,0.64,0.06,0.04,0.0128,1
0.86,0.61,0.46,0.87,0.13,0.82,0.1,0.03,0.1066,1
0.72,0.69,0.87,0.68,0.06,0.67,0.06,0.0,0.0402,0
0.88,0.9,0.75,0.57,0.03,0.69,0.08,0.0,0.020699999999999996,0
0.94,0.99,0.78,0.55,0.14,0.84,0.07,0.04,0.11760000000000001,1
0.64,0.75,0.54,0.98,0.0,0.65,0.04,0.02,0.0,0
0.92,0.72,0.88,0.87,0.07,0.64,0.06,0.02,0.044800000000000006,0
0.78,0.94,0.42,0.94,0.11,0.69,0.09,0.0,0.0759,0
0.85,0.72,0.87,0.7,0.02,0.54,0.1,0.0,0.0108,0
0.62,0.66,0.41,0.78,0.04,0.52,0.09,0.0,0.020800000000000003,0
0.81,0.49,0.46,0.83,0.03,0.76,0.08,0.0,0.0228,0
0.56,0.98,0.96,0.61,0.02,0.68,0.08,0.0,0.013600000000000001,0
0.71,0.88,0.55,0.88,0.08,0.82,0.05,0.0,0.06559999999999999,1
0.77,0.86,0.6,0.81,0.12,0.78,0.08,0.02,0.0936,1
0.51,0.52,0.48,0.55,0.15,0.71,0.04,0.03,0.1065,0
0.91,0.82,0.51,0.66,0.12,0.6,0.07,0.03,0.072,0
0.94,0.72,0.68,0.81,0.06,0.61,0.1,0.0,0.0366,0
0.55,0.91,0.63,0.57,0.12,0.79,0.08,0.06,0.0948,1
0.77,0.56,0.72,0.87,0.01,0.54,0.1,0.0,0.0054,0
0.77,0.69,0.53,0.78,0.04,0.77,0.1,0.0,0.0308,0
0.93,0.82,0.82,0.8,0.13,0.69,0.08,0.04,0.0897,1
0.93,0.88,0.57,0.68,0.05,0.53,0.09,0.01,0.026500000000000003,0
0.69,0.59,0.93,0.58,0.06,0.63,0.1,0.0,0.0378,0
0.79,0.88,0.44,0.77,0.04,0.66,0.09,0.04,0.026400000000000003,1
0.6,0.85,0.54,0.97,0.06,0.83,0.06,0.02,0.0498,1
0.77,0.95,0.98,0.99,0.08,0.69,0.09,0.05,0.0552,1
0.74,0.97,0.46,0.88,0.1,0.64,0.09,0.03,0.064,0
0.88,0.78,0.64,0.89,0.09,0.83,0.05,0.05,0.07469999999999999,1
0.82,0.89,0.53,0.8,0.12,0.83,0.04,0.07,0.0996,1
0.5,0.57,0.91,0.68,0.07,0.66,0.08,0.0,0.046200000000000005,0
0.76,0.52,0.79,0.82,0.05,0.5,0.1,0.0,0.025,0
0.62,0.57,0.75,0.75,0.02,0.56,0.1,0.0,0.011200000000000002,0
0.9,0.8,0.74,0.94,0.03,0.7,0.06,0.01,0.020999999999999998,0
0.52,0.5,0.83,0.5,0.0,0.72,0.07,0.01,0.0,0
0.88,0.82,0.89,0.6,0.07,0.68,0.08,0.02,0.04760000000000001,0
0.55,0.76,0.63,0.51,0.0,0.59,0.08,0.0,0.0,0
0.57,0.65,0.54,0.84,0.01,0.56,0.1,0.0,0.005600000000000001,0
0.76,0.88,0.5,0.62,0.06,0.73,0.07,0.04,0.0438,1
0.58,0.88,0.63,0.88,0.04,0.54,0.09,0.0,0.0216,0
0.86,0.93,0.5,0.83,0.11,0.66,0.06,0.06,0.0726,1
0.82,0.51,0.83,0.83,0.05,0.79,0.1,0.02,0.03950000000000001,1
0.91,0.7,0.9,0.84,0.16,0.86,0.06,0.05,0.1376,1
0.93,0.59,0.56,0.81,0.18,0.93,0.06,0.03,0.1674,1
0.73,0.93,0.45,0.94,0.06,0.59,0.1,0.02,0.035399999999999994,0
0.64,0.86,0.6,0.61,0.03,0.5,0.1,0.0,0.015,0
0.81,0.67,0.47,0.82,0.0,0.75,0.06,0.0,0.0,0
0.81,0.96,0.54,0.67,0.17,0.84,0.06,0.04,0.1428,1
0.73,0.82,0.93,0.54,0.04,0.74,0.09,0.03,0.0296,0
0.9,0.85,0.91,0.68,0.06,0.74,0.09,0.04,0.044399999999999995,1
0.98,0.59,0.71,0.8,0.04,0.83,0.01,0.0,0.0332,0
0.98,0.92,0.97,0.76,0.07,0.74,0.07,0.02,0.051800000000000006,0
0.61,0.97,0.49,0.91,0.05,0.67,0.09,0.0,0.0335,0
0.88,0.84,0.67,0.87,0.12,0.75,0.09,0.02,0.09,1
0.51,0.6,0.54,0.99,0.0,0.62,0.1,0.0,0.0,0
0.52,0.76,0.51,0.64,0.05,0.81,0.08,0.03,0.04050000000000001,0
0.98,0.81,0.82,0.95,0.12,0.85,0.07,0.01,0.102,1
0.86,0.62,0.57,0.97,0.03,0.79,0.1,0.0,0.0237,0
0.98,0.64,0.95,0.53,0.11,0.51,0.1,0.04,0.056100000000000004,1
0.66,0.9,0.76,0.68,0.08,0.66,0.07,0.0,0.05280000000000001,0
0.98,0.46,0.83,0.7,0.03,0.54,0.1,0.03,0.0162,0
0.51,0.99,0.63,0.89,0.0,0.79,0.04,0.01,0.0,0
0.51,0.67,0.76,0.5,0.07,0.6,0.1,0.03,0.042,0
0.77,0.74,0.93,0.69,0.09,0.75,0.06,0.03,0.0675,1
0.72,0.47,0.68,0.71,0.02,0.82,0.09,0.0,0.016399999999999998,0
0.86,0.9,0.49,0.62,0.12,0.76,0.07,0.01,0.0912,1
0.81,0.83,0.53,0.9,0.05,0.62,0.07,0.0,0.031,0
0.82,0.91,0.55,0.5,0.13,0.75,0.06,0.05,0.0975,1
0.5,0.93,0.76,0.64,0.08,0.55,0.1,0.0,0.044000000000000004,0
0.68,0.45,0.5,0.64,0.13,0.58,0.09,0.04,0.0754,1
0.51,0.85,0.9,0.63,0.08,0.74,0.08,0.0,0.0592,0
0.93,0.66,0.65,0.54,0.08,0.5,0.08,0.02,0.04,0
0.75,0.73,0.79,0.98,0.0,0.6,0.09,0.0,0.0,0
0.81,0.58,0.58,0.55,0.07,0.66,0.09,0.01,0.046200000000000005,0
0.55,0.92,0.91,0.9,0.06,0.86,0.1,0.02,0.0516,1
0.81,0.72,0.93,0.8,0.15,0.8,0.04,0.08,0.12,1
0.53,0.65,0.57,0.75,0.06,0.63,0.09,0.02,0.0378,0
0.6,0.89,0.69,0.74,0.11,0.81,0.05,0.02,0.08910000000000001,1
0.66,0.76,0.71,0.98,0.14,0.76,0.07,0.02,0.10640000000000001,1
0.87,0.5,0.62,0.88,0.13,0.62,0.09,0.02,0.0806,0
0.73,0.98,0.92,0.89,0.08,0.71,0.1,0.02,0.056799999999999996,0
0.54,0.45,0.51,0.64,0.15,0.77,0.06,0.05,0.11549999999999999,1
0.83,0.65,0.97,0.55,0.04,0.65,0.1,0.0,0.026000000000000002,0
0.55,0.48,0.52,0.5,0.11,0.76,0.1,0.01,0.08360000000000001,0
0.71,0.47,0.6,0.9,0.02,0.73,0.05,0.0,0.0146,0
0.6,0.93,0.6,0.56,0.11,0.75,0.04,0.03,0.0825,0
0.97,0.74,0.68,0.53,0.03,0.5,0.07,0.0,0.015,0
0.65,0.75,0.68,0.5,0.1,0.55,0.07,0.03,0.05500000000000001,0
0.82,0.78,0.89,0.9,0.03,0.59,0.08,0.0,0.017699999999999997,0
0.58,0.63,0.66,0.51,0.0,0.56,0.1,0.0,0.0,0
0.55,0.64,0.68,0.97,0.01,0.65,0.05,0.0,0.006500000000000001,0
0.65,0.67,0.54,0.83,0.09,0.82,0.09,0.05,0.07379999999999999,1
0.78,0.98,0.86,0.84,0.11,0.87,0.09,0.05,0.0957,1
0.52,0.84,0.51,0.95,0.09,0.63,0.08,0.05,0.0567,1
0.69,0.69,0.97,0.62,0.08,0.5,0.07,0.03,0.04,0
0.85,0.59,0.8,0.66,0.04,0.65,0.1,0.02,0.026000000000000002,0
0.68,0.82,0.58,0.59,0.03,0.74,0.07,0.01,0.022199999999999998,0
0.75,0.67,0.51,0.52,0.01,0.57,0.07,0.02,0.005699999999999999,0
0.52,0.96,0.62,0.53,0.01,0.62,0.1,0.0,0.0062,0
0.68,0.46,0.44,0.74,0.11,0.69,0.06,0.05,0.0759,1
0.69,0.59,0.97,0.86,0.01,0.77,0.09,0.02,0.0077,0
0.81,0.96,0.65,0.92,0.04,0.87,0.05,0.0,0.0348,0
0.56,0.88,0.92,0.87,0.02,0.69,0.09,0.02,0.0138,0
0.9,0.79,0.91,0.78,0.01,0.68,0.06,0.0,0.0068000000000000005,0
0.82,0.54,0.49,0.5,0.08,0.54,0.1,0.02,0.0432,0
0.89,0.58,0.61,0.79,0.04,0.6,0.07,0.0,0.024,0
0.88,0.71,0.78,0.88,0.07,0.76,0.1,0.04,0.053200000000000004,1
0.67,0.98,0.62,0.59,0.07,0.71,0.08,0.02,0.0497,0
0.89,0.58,0.5,0.78,0.08,0.73,0.04,0.03,0.0584,0
0.5,0.79,0.67,0.93,0.06,0.5,0.09,0.04,0.03,1
0.6,0.77,0.7,0.81,0.12,0.51,0.09,0.02,0.0612,0
0.77,0.96,0.47,0.93,0.05,0.85,0.03,0.0,0.0425,1
0.74,0.45,0.92,0.5,0.02,0.61,0.1,0.01,0.0122,0
0.99,0.78,0.78,0.9,0.08,0.51,0.1,0.02,0.0408,0
0.72,0.63,0.87,0.66,0.06,0.65,0.05,0.02,0.039,0
0.8,0.68,0.67,0.61,0.0,0.5,0.1,0.02,0.0,0
0.79,0.86,0.55,0.51,0.0,0.5,0.07,0.0,0.0,0
0.91,0.48,0.85,0.58,0.06,0.59,0.08,0.0,0.035399999999999994,0
0.84,0.8,0.86,0.61,0.15,0.61,0.07,0.04,0.0915,1
0.56,0.57,0.91,0.74,0.13,0.5,0.09,0.05,0.065,1
0.65,0.76,0.7,0.85,0.01,0.69,0.06,0.0,0.0069,0
0.75,0.53,0.8,0.93,0.04,0.58,0.1,0.02,0.0232,0
0.97,0.83,0.87,0.99,0.09,0.79,0.08,0.02,0.0711,1
0.98,0.6,0.55,0.84,0.09,0.69,0.08,0.03,0.062099999999999995,0
0.51,0.94,0.44,0.71,0.02,0.5,0.08,0.01,0.01,0
0.5,0.47,0.74,0.82,0.13,0.73,0.08,0.04,0.0949,1
0.97,0.96,0.92,0.99,0.06,0.8,0.07,0.0,0.048,1
0.61,0.64,0.64,0.7,0.08,0.67,0.08,0.05,0.0536,1
0.54,0.54,0.52,0.89,0.03,0.56,0.1,0.04,0.016800000000000002,1
0.86,0.66,0.68,0.71,0.05,0.51,0.1,0.04,0.025500000000000002,1
0.81,0.92,0.66,0.77,0.12,0.66,0.1,0.02,0.0792,0
0.58,0.47,0.79,0.53,0.1,0.58,0.1,0.04,0.057999999999999996,1
0.9,0.55,0.56,0.75,0.1,0.65,0.1,0.04,0.065,1
0.84,0.69,0.76,0.72,0.03,0.5,0.08,0.01,0.015,0
0.68,0.86,0.77,0.97,0.0,0.5,0.1,0.0,0.0,0
0.97,0.92,0.68,0.98,0.22,0.88,0.05,0.08,0.1936,1
0.65,0.52,0.97,0.72,0.07,0.68,0.1,0.01,0.04760000000000001,0
0.52,0.53,0.98,0.9,0.0,0.57,0.1,0.0,0.0,0
0.69,0.59,0.73,0.57,0.11,0.58,0.09,0.05,0.0638,1
0.73,0.76,0.69,0.81,0.02,0.78,0.07,0.03,0.015600000000000001,0
0.82,0.97,0.7,0.88,0.18,1.0,0.09,0.06,0.18,1
0.73,0.47,0.61,0.93,0.03,0.51,0.1,0.0,0.0153,0
0.6,0.48,0.85,0.5,0.09,0.78,0.07,0.06,0.0702,1
0.98,0.74,0.64,0.79,0.08,0.56,0.09,0.01,0.044800000000000006,0
0.57,0.57,0.43,0.77,0.0,0.65,0.07,0.0,0.0,0
0.85,0.88,0.74,0.66,0.03,0.5,0.08,0.0,0.015,0
0.87,0.65,0.8,0.72,0.03,0.57,0.08,0.01,0.017099999999999997,0
0.89,0.85,0.89,0.87,0.05,0.67,0.08,0.02,0.0335,0
0.69,0.9,0.83,0.73,0.08,0.72,0.09,0.03,0.0576,0
0.84,0.63,0.48,0.71,0.0,0.5,0.1,0.0,0.0,0
0.97,0.83,0.98,0.54,0.09,0.75,0.03,0.05,0.0675,1
0.74,0.92,0.65,0.74,0.0,0.59,0.06,0.0,0.0,0
0.84,0.66,0.66,0.56,0.09,0.54,0.1,0.02,0.048600000000000004,0
0.74,0.64,0.66,0.71,0.02,0.51,0.06,0.01,0.0102,0
0.78,0.81,0.57,0.93,0.08,0.84,0.09,0.01,0.0672,1
0.67,0.75,0.69,0.86,0.0,0.62,0.1,0.0,0.0,0
0.95,0.54,0.84,0.83,0.04,0.6,0.1,0.01,0.024,0
0.67,0.62,0.98,0.85,0.0,0.5,0.07,0.0,0.0,0
0.51,0.87,0.85,0.98,0.0,0.54,0.07,0.0,0.0,0
0.84,0.83,0.7,0.89,0.15,0.77,0.09,0.05,0.11549999999999999,1
0.65,0.9,0.81,0.69,0.14,0.78,0.03,0.04,0.10920000000000002,1
0.9,0.64,0.42,0.86,0.01,0.62,0.09,0.0,0.0062,0
0.85,0.62,0.68,0.66,0.05,0.58,0.07,0.0,0.028999999999999998,0
0.82,0.55,0.46,0.53,0.09,0.5,0.07,0.01,0.045,0
0.53,0.66,0.57,0.99,0.06,0.65,0.08,0.0,0.039,0
0.82,0.88,0.55,0.67,0.05,0.65,0.1,0.02,0.0325,0
0.63,0.62,0.88,0.77,0.0,0.51,0.1,0.0,0.0,0
0.7,0.78,0.96,0.99,0.11,0.69,0.09,0.08,0.0759,1
0.97,0.67,0.71,0.65,0.05,0.66,0.07,0.0,0.033,0
0.69,0.45,0.77,0.92,0.0,0.63,0.1,0.0,0.0,0
0.57,0.99,0.64,0.57,0.07,0.75,0.1,0.06,0.052500000000000005,1
0.56,0.54,0.83,0.93,0.03,0.5,0.1,0.0,0.015,0
0.52,0.97,0.71,0.67,0.04,0.69,0.06,0.0,0.0276,0
0.66,0.45,0.58,0.99,0.06,0.5,0.1,0.0,0.03,0
0.82,0.82,0.42,0.78,0.07,0.56,0.1,0.02,0.039200000000000006,0
0.97,0.83,0.97,0.89,0.14,0.85,0.07,0.02,0.11900000000000001,1
0.61,0.93,0.99,0.65,0.03,0.51,0.09,0.0,0.0153,0
0.71,0.53,0.74,0.79,0.02,0.71,0.09,0.02,0.014199999999999999,0
0.71,0.75,0.89,0.98,0.11,0.65,0.08,0.02,0.07150000000000001,0
0.95,0.51,0.68,0.83,0.19,0.94,0.08,0.07,0.17859999999999998,1
0.79,0.61,0.5,0.79,0.18,0.64,0.08,0.05,0.1152,1
0.87,0.79,0.45,0.7,0.11,0.7,0.04,0.06,0.077,1
0.87,0.92,0.58,0.71,0.07,0.5,0.1,0.04,0.035,1
0.94,0.81,0.76,0.96,0.06,0.67,0.08,0.04,0.0402,1
0.57,0.96,0.84,0.74,0.05,0.5,0.09,0.02,0.025,0
0.76,0.62,0.66,0.71,0.0,0.57,0.09,0.02,0.0,0
0.76,0.77,0.44,0.77,0.11,0.62,0.06,0.02,0.0682,0
0.83,0.48,0.65,0.88,0.13,0.91,0.04,0.03,0.1183,1
0.7,0.67,0.74,0.82,0.06,0.61,0.07,0.03,0.0366,0
0.79,0.55,0.58,0.51,0.17,0.94,0.07,0.03,0.1598,0
0.82,0.96,0.56,0.53,0.22,0.72,0.09,0.06,0.15839999999999999,1
