test_1_score,test_2_score,test_3_score,test_4_score,hours_studied_per_week,attendance_percent,classes_missed,office_hours_attended,Passed the class
82,80,52,73,12,83,10,4,Yes
58,75,93,93,6,70,5,0,No
92,91,64,71,0,50,8,0,No
97,78,52,75,3,72,9,0,No
88,46,52,71,10,73,8,5,Yes
78,86,76,56,0,63,6,1,No
91,47,99,64,3,50,8,2,No
75,74,83,97,4,58,9,1,No
84,52,45,79,5,54,10,2,No
99,96,65,53,7,76,8,2,Yes
74,51,93,55,6,71,10,2,No
73,56,53,97,1,55,10,0,No
62,63,47,96,1,54,7,0,No
56,70,63,51,15,72,9,6,Yes
85,72,61,80,14,77,6,5,Yes
94,59,79,73,10,79,10,4,Yes
69,58,78,84,9,60,8,2,No
50,92,88,96,8,72,5,5,Yes
57,58,60,80,5,61,10,1,No
95,47,82,74,2,50,10,0,No
65,94,65,57,15,70,6,5,Yes
63,73,49,61,16,80,9,6,Yes
61,98,52,51,5,57,7,0,No
72,50,81,64,11,74,6,5,Yes
64,93,92,89,5,72,4,2,No
77,67,97,81,3,75,9,4,Yes
83,72,53,60,5,54,10,2,No
51,58,48,66,3,75,6,1,No
81,58,46,70,9,69,7,0,No
72,64,78,71,4,50,10,1,No
71,57,97,82,10,68,8,1,No
74,71,70,78,3,60,9,0,No
71,79,89,64,7,62,6,0,No
71,89,55,70,2,50,10,0,No
98,46,47,51,0,62,8,0,No
91,85,87,91,10,69,5,2,No
55,89,90,87,7,61,10,3,No
64,84,54,52,4,54,7,0,No
92,92,64,74,4,50,8,0,No
86,68,86,62,1,76,5,0,No
82,73,77,73,9,66,7,2,No
57,47,80,80,1,69,6,0,No
93,89,54,64,17,88,5,5,Yes
93,48,64,55,7,77,8,0,No
54,94,46,90,9,76,7,3,Yes
88,46,65,59,13,75,5,7,Yes
53,64,99,58,1,50,10,0,No
55,98,47,99,9,85,8,1,Yes
94,97,57,90,11,60,8,0,No
81,59,60,99,4,79,6,2,No
79,93,55,90,0,57,8,3,No
96,76,86,54,0,70,6,2,No
84,86,42,94,3,72,3,1,No
89,45,40,93,12,76,6,4,Yes
65,82,52,90,3,67,10,0,No
62,79,93,68,11,69,7,1,No
99,95,71,69,5,65,6,3,No
91,51,51,82,7,67,9,2,No
79,89,70,92,10,72,7,0,No
68,57,80,86,11,70,9,1,No
66,93,41,80,5,52,10,0,No
68,45,80,88,2,58,8,0,No
77,58,47,62,0,64,8,2,No
75,73,98,87,5,64,10,3,No
86,47,64,94,23,83,6,7,Yes
75,90,44,55,7,61,10,3,No
72,68,84,96,0,66,9,1,No
58,45,41,57,4,70,9,1,No
61,92,81,92,11,50,10,5,Yes
50,54,97,59,2,50,9,0,No
50,57,77,90,0,58,10,0,No
96,80,78,53,21,86,7,7,Yes
83,53,42,63,8,71,6,2,No
81,58,85,53,14,73,5,7,Yes
97,80,87,73,6,74,9,2,No
74,54,77,96,15,81,3,3,Yes
89,84,61,70,13,71,6,6,Yes
94,67,79,59,10,69,5,6,Yes
50,79,72,95,0,50,10,1,No
65,99,91,74,4,65,9,3,No
88,51,71,55,9,75,8,0,No
54,86,86,65,5,58,9,2,No
71,79,56,93,9,69,8,2,No
78,46,95,77,3,66,10,0,No
52,59,57,85,7,76,4,0,No
61,53,95,82,2,59,10,2,No
75,91,42,79,10,61,8,4,Yes
65,61,95,85,1,58,10,0,No
86,83,45,74,6,69,9,4,Yes
71,96,88,62,7,69,10,2,No
78,62,94,88,2,50,10,2,No
63,59,52,64,2,59,7,0,No
77,62,94,87,8,58,9,0,No
54,68,93,79,9,69,8,0,No
96,67,70,63,9,73,8,5,Yes
98,56,56,99,10,80,8,2,Yes
79,67,60,53,7,80,9,3,No
95,65,55,50,4,69,9,6,Yes
54,70,56,52,0,56,9,0,No
61,52,71,94,3,58,7,1,No
65,74,40,99,6,71,9,0,No
75,78,87,85,4,72,5,3,No
75,46,77,53,13,61,9,3,No
97,49,47,92,8,92,7,4,Yes
70,75,40,63,6,70,8,2,No
88,77,41,74,10,78,5,0,Yes
85,98,86,88,19,84,6,5,Yes
82,48,76,52,5,55,9,2,No
79,50,63,56,1,57,9,0,No
86,67,66,57,9,61,9,1,No
72,89,59,93,2,50,10,0,No
59,63,86,56,1,50,9,0,No
54,87,60,97,14,92,7,0,Yes
85,89,81,74,15,73,8,6,Yes
83,52,76,66,10,79,8,5,Yes
80,83,74,75,10,64,7,6,Yes
59,57,77,53,0,53,10,2,No
68,45,92,98,1,76,6,0,No
81,50,54,67,13,71,7,5,Yes
50,51,89,53,2,60,8,0,No
54,92,85,66,3,66,6,1,No
94,71,81,96,7,73,10,3,No
53,59,69,66,8,63,9,5,Yes
65,96,43,94,7,50,8,2,No
73,78,82,74,6,78,6,3,Yes
65,67,91,52,0,64,6,0,No
51,92,78,61,6,57,9,0,No
98,93,54,76,14,72,7,4,Yes
77,68,62,66,6,79,7,1,No
81,59,80,71,17,93,1,3,Yes
76,79,54,88,4,61,5,0,No
69,48,65,88,3,78,6,2,No
73,88,51,92,4,64,10,2,No
61,81,57,97,3,56,9,1,No
99,61,45,85,10,65,6,5,Yes
84,75,57,65,6,84,4,3,Yes
82,82,96,86,17,83,9,8,Yes
82,54,89,78,8,59,7,1,No
92,98,93,63,5,75,8,3,Yes
86,94,63,56,4,75,5,0,No
61,71,77,90,14,70,7,3,No
52,86,67,77,8,73,9,0,No
50,50,54,62,11,85,3,4,Yes
82,50,58,65,6,54,7,3,No
89,96,44,70,9,51,10,2,No
59,59,43,53,12,65,10,2,No
92,48,56,88,8,50,10,5,Yes
93,92,92,84,11,59,9,3,No
78,98,49,64,6,77,3,1,Yes
62,84,51,75,11,63,7,5,Yes
61,51,44,95,5,64,9,5,Yes
80,95,46,56,5,72,5,2,No
95,93,83,67,20,92,3,7,Yes
51,97,62,74,5,68,10,3,No
99,89,41,86,5,50,8,0,No
84,91,69,70,14,73,10,0,No
72,70,91,57,10,78,8,4,Yes
66,75,88,69,3,65,9,1,No
75,46,84,67,5,70,8,1,No
57,72,76,68,9,62,10,4,Yes
78,86,44,52,9,70,8,4,Yes
75,57,59,87,10,77,6,2,No
59,62,65,67,6,80,6,2,No
75,74,83,76,11,65,9,0,No
83,99,83,64,7,60,9,4,Yes
90,55,78,95,4,80,7,2,No
56,57,45,70,10,67,9,1,No
53,95,68,71,8,70,9,1,No
99,68,49,57,11,74,4,3,No
94,73,90,60,14,74,8,4,Yes
60,98,55,92,5,84,8,0,Yes
78,49,73,61,9,67,8,3,No
85,79,70,97,19,87,6,8,Yes
74,63,75,88,6,62,8,0,No
70,99,80,76,2,81,6,0,No
85,57,97,84,11,63,9,5,Yes
59,49,44,51,0,66,8,0,No
86,88,72,84,3,50,10,0,No
58,58,82,80,5,62,8,0,No
73,82,58,57,7,73,6,3,No
84,66,71,69,8,53,6,0,No
98,53,96,57,18,74,7,6,Yes
84,93,62,53,9,100,4,6,Yes
97,84,42,80,6,55,10,2,No
85,70,40,81,4,67,9,3,No
67,89,75,62,5,50,9,3,No
98,49,80,71,1,50,10,1,No
88,73,67,75,10,74,8,1,No
81,98,87,66,10,68,9,5,Yes
73,66,78,78,9,61,7,0,No
72,93,44,76,12,67,9,4,Yes
81,47,52,71,9,80,5,0,No
86,72,50,67,0,58,8,0,No
61,82,85,54,5,71,5,0,No
98,58,61,61,6,50,7,2,No
62,91,88,51,14,69,10,2,No
72,58,62,91,13,69,8,4,Yes
74,87,51,56,5,58,9,0,No
84,55,92,96,1,60,7,0,No
90,53,94,75,7,64,10,0,No
79,82,92,88,6,73,8,0,No
66,91,60,64,7,78,6,3,Yes
98,88,58,97,15,69,5,3,No
69,50,44,82,7,79,9,1,No
97,45,63,96,4,57,9,3,No
74,69,69,52,3,64,7,0,No
71,60,47,91,0,50,9,0,No
62,96,41,97,10,67,10,6,Yes
68,59,98,51,7,82,8,5,Yes
98,78,88,66,11,72,7,1,No
85,61,73,50,7,64,10,2,No
61,47,98,85,0,50,10,0,No
90,47,62,92,7,66,5,0,No
68,81,42,66,13,74,7,4,Yes
61,61,95,51,6,61,7,0,No
58,99,91,82,16,73,8,1,No
56,93,97,78,8,67,8,2,No
77,96,97,55,18,78,5,7,Yes
63,82,63,92,17,75,8,4,Yes
80,45,57,85,1,73,4,4,Yes
68,51,86,73,2,52,10,0,No
96,70,76,60,6,81,10,2,Yes
65,91,93,54,0,57,10,0,No
54,83,88,79,9,74,5,1,No
84,63,70,59,9,80,9,5,Yes
61,96,53,86,8,70,8,0,No
74,98,40,76,2,62,7,0,No
70,74,53,76,15,76,7,1,No
85,87,80,73,0,50,10,1,No
72,99,44,52,1,50,8,4,Yes
65,58,70,87,10,78,4,0,Yes
88,57,70,75,8,65,6,4,Yes
94,64,69,94,4,55,9,0,No
91,70,75,97,8,70,6,4,Yes
88,71,40,88,8,66,8,1,No
63,69,42,67,12,59,8,6,Yes
80,53,59,52,0,69,5,0,No
54,85,82,87,8,79,8,0,Yes
84,92,87,91,14,76,8,2,Yes
72,56,82,97,1,63,9,0,No
78,54,60,74,6,66,4,0,No
92,50,69,62,6,67,5,3,No
60,94,81,74,0,63,10,0,No
67,78,83,73,8,63,8,2,No
96,96,69,90,11,79,8,4,Yes
61,85,44,65,14,76,5,6,Yes
58,63,49,92,5,73,5,0,No
59,50,63,90,7,80,5,1,No
93,46,84,91,14,74,7,4,Yes
66,59,90,60,3,66,9,3,No
87,61,78,70,1,67,8,0,No
56,60,87,80,6,67,9,1,No
95,72,45,64,7,64,9,1,No
62,65,49,94,5,67,7,1,No
89,52,98,98,4,77,9,5,Yes
91,54,81,85,3,50,8,3,No
58,54,97,92,10,77,5,4,Yes
99,94,82,50,9,71,8,5,Yes
76,54,93,77,17,72,7,6,Yes
51,53,49,82,0,69,10,0,No
54,72,64,52,16,64,7,6,Yes
78,68,53,64,8,64,7,0,No
86,63,86,82,7,80,6,5,Yes
87,77,78,81,2,50,10,0,No
68,48,52,72,2,67,8,0,No
57,47,50,75,11,85,4,1,No
97,86,78,97,0,71,8,1,No
94,56,50,66,0,64,7,2,No
50,62,85,58,0,50,9,2,No
71,67,88,54,12,81,6,4,Yes
66,64,55,78,9,63,9,0,No
56,50,72,55,0,58,10,0,No
74,97,80,96,6,65,8,2,No
94,78,80,90,9,57,10,6,Yes
53,86,99,84,12,85,9,5,Yes
85,46,71,70,1,60,10,0,No
55,74,98,94,7,66,10,0,No
80,53,49,94,4,58,7,3,No
68,71,90,72,6,59,9,0,No
93,86,54,84,4,70,5,4,Yes
88,78,55,95,9,75,7,4,Yes
76,84,82,51,4,94,4,0,No
59,68,66,91,6,63,8,1,No
75,93,95,58,16,72,6,2,No
68,61,96,62,11,82,6,3,Yes
88,73,88,92,14,82,7,3,Yes
52,80,99,83,8,65,6,2,No
94,94,90,65,15,79,7,3,Yes
62,56,84,54,0,76,8,0,No
99,75,71,50,0,50,9,2,No
77,93,45,89,3,56,7,0,No
69,53,86,71,1,65,8,0,No
77,63,87,97,12,65,10,7,Yes
57,90,75,95,0,54,10,2,No
90,90,47,75,2,74,6,0,No
88,61,64,83,6,70,7,0,No
50,46,46,99,5,64,7,7,Yes
52,84,98,70,11,63,5,5,Yes
62,49,56,56,4,68,10,0,No
77,83,87,74,7,79,7,2,Yes
98,98,69,61,14,61,10,2,No
74,92,41,80,3,51,9,2,No
82,60,56,96,7,74,4,2,No
87,61,96,76,10,64,9,1,No
55,98,43,71,5,57,10,0,No
93,71,65,83,12,65,6,2,No
94,51,53,66,2,70,4,2,No
81,96,47,60,16,83,7,5,Yes
94,52,44,78,5,69,10,0,No
96,52,44,83,5,61,9,0,No
70,67,44,86,0,52,8,0,No
65,76,66,98,1,55,10,0,No
70,87,44,97,3,54,9,3,No
60,91,42,75,1,57,8,0,No
86,62,77,94,1,61,10,0,No
85,82,69,94,8,75,9,2,Yes
84,98,40,94,12,72,4,5,Yes
68,56,47,81,7,65,9,4,Yes
69,59,52,86,0,77,5,0,No
67,72,59,54,1,50,8,0,No
96,99,45,69,15,81,8,6,Yes
90,82,89,56,1,66,7,0,No
98,94,89,92,8,73,6,3,No
63,75,87,72,1,70,9,1,No
64,96,47,50,14,62,9,3,No
80,53,69,88,2,72,7,0,No
50,52,88,52,8,72,6,0,No
52,90,79,94,3,59,8,0,No
65,63,54,52,0,66,5,1,No
72,95,97,55,10,72,10,4,Yes
60,52,49,80,0,51,10,0,No
61,78,72,76,2,50,7,0,No
59,48,48,78,14,61,10,2,No
81,75,88,64,23,76,6,7,Yes
65,82,91,85,7,71,9,0,No
57,47,96,54,0,50,8,3,No
87,79,72,52,8,72,7,3,No
61,63,48,74,0,63,8,0,No
73,87,53,81,5,86,7,4,Yes
77,73,95,70,15,79,9,3,Yes
57,54,71,97,6,50,9,2,No
77,56,76,66,0,71,7,0,No
85,90,45,58,10,61,10,2,No
75,74,44,75,0,50,10,0,No
57,74,43,71,0,58,9,0,No
99,62,99,90,11,77,9,1,Yes
77,68,87,95,3,60,8,0,No
